AÑO,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,ESTRATO,P204,P207,P208A
2023,005007,022,11,01,010101,4,1,1,64
2023,005007,022,11,02,010101,4,1,2,63
2023,005007,022,11,03,010101,4,1,1,31
2023,005007,031,11,01,010101,4,1,2,79
2023,005007,031,11,02,010101,4,2,1,50
2023,005007,031,11,03,010101,4,2,2,38
2023,005007,031,11,04,010101,4,2,2,11
2023,005007,031,11,05,010101,4, , , 
2023,005027,006,11,01,010201,4,1,1,37
2023,005027,006,11,02,010201,4,1,2,32
2023,005027,006,11,03,010201,4,1,2,13
2023,005027,006,11,04,010201,4,1,1,6
2023,005027,006,11,05,010201,4,1,1,1
2023,005027,018,11,01,010201,4,1,1,44
2023,005027,018,11,02,010201,4,1,2,26
2023,005027,018,11,03,010201,4,1,1,2
2023,005027,018,11,04,010201,4,1,1,0
2023,005027,018,11,05,010201,4,2,1,13
2023,005027,044,11,01,010201,4,1,1,63
2023,005027,044,11,02,010201,4,1,2,52
2023,005027,044,11,03,010201,4,1,1,26
2023,005027,044,11,04,010201,4,1,1,23
2023,005027,044,11,05,010201,4,1,2,13
2023,005027,055,11,01,010201,4,1,1,61
2023,005027,055,11,02,010201,4,1,2,51
2023,005027,055,11,03,010201,4,1,2,24
2023,005027,055,11,04,010201,4,1,2,18
2023,005027,055,11,05,010201,4,1,2,26
2023,005027,055,11,06,010201,4,1,1,1
2023,005027,065,11,01,010201,4,1,2,36
2023,005027,065,11,02,010201,4,1,2,12
2023,005027,078,11,01,010201,4,1,2,58
2023,005030,002,11,01,010201,4,1,1,43
2023,005030,002,11,02,010201,4,1,2,41
2023,005030,002,11,03,010201,4,1,1,9
2023,005030,002,11,04,010201,4,1,2,7
2023,005030,011,11,01,010201,4,1,1,60
2023,005030,011,11,02,010201,4,1,2,59
2023,005030,011,11,03,010201,4,1,1,38
2023,005030,037,11,01,010201,4,1,1,30
2023,005030,037,11,02,010201,4,1,2,29
2023,005030,037,11,03,010201,4,1,2,7
2023,005030,037,11,04,010201,4,1,1,5
2023,005030,045,11,01,010201,4,1,1,81
2023,005030,045,11,02,010201,4,1,1,58
2023,005030,056,11,01,010201,4,1,2,50
2023,005030,060,11,01,010201,4,1,1,54
2023,005030,060,11,02,010201,4,1,2,52
2023,005030,060,11,03,010201,4,1,2,25
2023,005030,060,11,04,010201,4,2,2,17
2023,005030,060,11,05,010201,4,2,2,2
2023,005030,060,11,06,010201,4,2,1,1
2023,005039,022,11,01,010701,4,1,1,44
2023,005039,022,11,02,010701,4,1,2,39
2023,005039,022,11,03,010701,4,1,1,16
2023,005039,022,11,04,010701,4,1,1,12
2023,005039,022,11,05,010701,4,1,2,9
2023,005039,083,11,01,010701,4,1,2,33
2023,005039,083,11,02,010701,4,1,2,6
2023,005039,083,11,03,010701,4,1,2,0
2023,005039,083,11,04,010701,4,2,1,30
2023,005039,083,11,05,010701,4,2,1,30
2023,005039,083,11,06,010701,4,2,2,30
2023,005039,101,11,01,010701,4,1,1,46
2023,005039,114,11,01,010701,4,1,1,32
2023,005039,114,11,02,010701,4,1,2,27
2023,005039,114,11,03,010701,4,1,1,8
2023,005039,114,11,04,010701,4,1,2,6
2023,005039,114,11,05,010701,4,1,1,0
2023,005045,004,11,01,010701,4,1,1,76
2023,005045,004,11,02,010701,4,1,2,57
2023,005045,004,11,03,010701,4,1,2,23
2023,005045,013,11,01,010701,4,1,1,54
2023,005045,013,11,02,010701,4,1,2,51
2023,005045,013,11,03,010701,4,1,1,25
2023,005045,013,11,04,010701,4,1,1,22
2023,005045,013,11,05,010701,4,1,2,9
2023,005045,040,11,01,010701,4,1,2,42
2023,005045,040,11,02,010701,4,1,2,19
2023,005045,040,11,03,010701,4,1,1,15
2023,005045,040,11,04,010701,4,1,1,11
2023,005045,040,11,05,010701,4,1,1,3
2023,005045,047,11,01,010701,4,1,1,58
2023,005045,047,11,02,010701,4,1,2,57
2023,005045,047,11,03,010701,4,1,1,18
2023,005045,047,11,04,010701,4, , , 
2023,005045,047,11,05,010701,4, , , 
2023,005045,047,11,06,010701,4, , , 
2023,005045,056,11,01,010701,4,1,2,61
2023,005045,056,11,02,010701,4,1,1,23
2023,005045,056,11,03,010701,4,1,2,5
2023,005045,056,11,04,010701,4,2,2,1
2023,005045,056,11,05,010701,4, , , 
