AÑO,CONGLOME,VIVIENDA,HOGAR,CODPERSO,P501,P507,P513T,P523,P524A1,FAC500A
2023,005030,002,11,01,1,4,28,4,1800,165.62385559082
2023,005030,002,11,02,1,2,78, , ,112.328086853027
2023,005030,011,11,01,1,2,84, , ,96.0353698730469
2023,005030,011,11,02,1,5,84, , ,86.8688812255859
2023,005030,011,11,03,1,2,12, , ,185.49235534668
2023,005030,037,11,01,1,3,45,4,1900,231.178314208984
2023,005030,037,11,02,2, , , , ,69.0782470703125
2023,005030,045,11,01,2, , , , ,27.0393543243408
2023,005030,045,11,02,1,2,48, , ,256.382659912109
2023,005030,056,11,01,2,3,0,4,2100,119.375633239746
2023,005030,060,11,01,1,2,50, , ,166.009735107422
2023,005030,060,11,02,2, , , , ,119.375633239746
2023,005030,060,11,03,1,2,84, , ,69.0782470703125
2023,005030,060,11,04,1,4,93,4,650,107.365577697754
2023,005138,025,11,01,1,2,10, , ,65.6891250610352
2023,005138,025,11,02,1,3,40,4,50,52.9005317687988
2023,005138,025,11,03,2, , , , ,54.3228797912598
2023,005138,025,11,04,2, , , , ,24.3894824981689
2023,005138,028,11,01,1,2,50, , ,65.6891250610352
2023,005138,028,11,02,1,5,35, , ,52.0021553039551
2023,005138,028,11,03,1,5,19, , ,54.3228797912598
2023,005138,111,11,01,1,2,38, , ,52.0021553039551
2023,005138,111,11,02,1,5,7, , ,63.1435279846191
2023,005138,118,11,01,1,2,54, , ,81.8967132568359
2023,005138,118,11,02,1,5,81, , ,43.4948921203613
2023,005138,119,11,01,1,2,50, , ,38.5074348449707
2023,005138,119,11,02,1,5,20, , ,45.2885055541992
2023,005138,119,11,03,1,5,7, , ,41.864330291748
2023,005138,120,11,01,1,2,50, , ,65.91064453125
2023,005138,120,11,02,2, , , , ,52.0021553039551
2023,005138,120,11,03,1,2,48, , ,93.7367172241211
2023,005138,120,11,04,1,4,48,2,240,54.3228797912598
2023,005138,120,11,05,1,2,48, , ,54.3228797912598
2023,005138,120,11,06,1,5,20, , ,54.3228797912598
2023,005138,121,11,01,1,2,38, , ,80.2280426025391
2023,005257,007,11,01,1,1,61, , ,110.083938598633
2023,005257,007,11,02,1,3,40,4,1500,192.556915283203
2023,005257,007,11,03,1,3,40,4,1025,192.556915283203
2023,005257,007,11,04,1,3,48,4,1430,120.332580566406
2023,005257,029,11,01,1,1,48, , ,139.41828918457
2023,005257,029,11,02,2,5,5, , ,177.535903930664
2023,005257,039,11,01,2, , , , ,80.507080078125
2023,005257,039,11,02,2,3,0,4,2200,115.742874145508
2023,005257,050,11,01,1,2,30, , ,177.535903930664
2023,005257,050,11,02,2, , , , ,154.673934936523
2023,005257,050,11,03,2, , , , ,80.507080078125
2023,005257,050,11,04,2, , , , ,141.142288208008
2023,005257,050,11,05,2, , , , ,120.242980957031
2023,005257,061,11,01,1,2,34, , ,125.365715026855
2023,005257,061,11,02,1,3,6,4,780,192.556915283203
2023,005257,080,11,01,1,6,30,2,300,101.288719177246
2023,005257,080,11,02,1,3,10,4,336,197.685928344727
2023,005257,080,11,03,1,3,44,4,1800,197.685928344727
2023,005480,006,11,01,1,2,90, , ,237.762176513672
2023,005480,006,11,02,1,4,30,4,2100,216.895446777344
2023,005480,006,11,03,2,5,7, , ,223.034957885742
2023,005480,006,11,04,1,4,32,2,90,183.977111816406
2023,005480,021,11,01,1,4,48,4,1200,209.337097167969
2023,005480,021,11,02,2, , , , ,229.616455078125
2023,005480,021,11,03,2, , , , ,204.429931640625
2023,005480,021,11,04,1,4,36,4,1850,223.034957885742
2023,005480,051,11,01,1,4,51,2,660,251.310302734375
2023,005480,051,11,02,1,4,53,4,1100,234.53971862793
2023,005480,051,11,03,2, , , , ,229.616455078125
2023,005480,063,11,01,1,2,48, , ,199.58203125
2023,005480,063,11,02,1,2,28, , ,237.762176513672
2023,005480,063,11,03,1,3,54,2,999999,223.034957885742
2023,005480,063,11,04,2,5,14, , ,229.616455078125
2023,005480,063,11,05,2, , , , ,198.543792724609
2023,005480,079,11,01,1,4,50,4,1025,204.05729675293
2023,005480,094,11,01,1,2,75, , ,162.214797973633
2023,005480,094,11,02,2,5,84, , ,198.543792724609
2023,005480,094,11,03,2, , , , ,163.028335571289
2023,005511,013,11,01,2,4,0,4,2200,820.784484863281
2023,005511,013,11,02,1,2,38, , ,613.859741210938
2023,005511,032,11,01,1,5,20, , ,660.827697753906
2023,005511,032,11,02,1,2,60, , ,713.779296875
2023,005511,032,11,03,1,2,15, , ,881.188903808594
